fzaninotto/Faker,Makefile,Graham Campbell,3.457
fzaninotto/Faker,src/Faker/Provider/de_DE/Company.php,pdaether,3.76636284215324
fzaninotto/Faker,src/Faker/Provider/de_DE/Internet.php,pdaether,3.72349926512077
fzaninotto/Faker,src/Faker/Provider/de_DE/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/de_DE/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/de_DE/Person.php,pdaether,3.87437043010865
fzaninotto/Faker,src/Faker/Provider/de_DE/PhoneNumber.php,pdaether,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/de_DE/Text.php,Tim DÃƒÂ¼sterhus,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/el_GR/Address.php,George Haritonidis,4.66049975504026
fzaninotto/Faker,src/Faker/Provider/el_GR/Payment.php,John Was,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/el_GR/Person.php,George Haritonidis,4.36637043010865
fzaninotto/Faker,src/Faker/Provider/el_GR/PhoneNumber.php,George Haritonidis,4.555
fzaninotto/Faker,src/Faker/Provider/en_AU/Address.php,Rick Cuddy,4.43799951008052
fzaninotto/Faker,src/Faker/Provider/en_AU/Internet.php,Rick Cuddy,4.391
fzaninotto/Faker,src/Faker/Provider/en_AU/PhoneNumber.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/en_AU/PhoneNumber.php,Rick Cuddy,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/en_CA/Address.php,Colin Viebrock,4.09436284215325
fzaninotto/Faker,src/Faker/Provider/en_CA/PhoneNumber.php,Colin Viebrock,4.555
fzaninotto/Faker,src/Faker/Provider/en_GB/Address.php,Matt Lody,5.02237043010865
fzaninotto/Faker,src/Faker/Provider/en_GB/Internet.php,Matt Lody,3.87437043010865
fzaninotto/Faker,src/Faker/Provider/en_GB/Payment.php,Matt Lody,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/en_GB/Payment.php,John Was,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/en_GB/Person.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/en_GB/Person.php,AlexCutts,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/en_GB/PhoneNumber.php,DavidBlake,3.37384521037779
fzaninotto/Faker,src/Faker/Provider/en_GB/PhoneNumber.php,Matt Lody,3.84969091067507
fzaninotto/Faker,src/Faker/Provider/en_NZ/Address.php,JasonMortonNZ,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/en_NZ/Internet.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/en_NZ/Internet.php,JasonMortonNZ,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/en_NZ/PhoneNumber.php,JasonMortonNZ,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/en_PH/Address.php,Randy garces,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/en_UG/Address.php,tharoldD,6.851
fzaninotto/Faker,src/Faker/Provider/en_UG/Internet.php,tharoldD,4.719
fzaninotto/Faker,src/Faker/Provider/en_UG/Person.php,tharoldD,5.15249975504026
fzaninotto/Faker,src/Faker/Provider/en_UG/PhoneNumber.php,tharoldD,4.883
fzaninotto/Faker,src/Faker/Provider/en_US/Address.php,Francois Zaninotto,5.69149926512077
fzaninotto/Faker,src/Faker/Provider/en_US/Company.php,Francois Zaninotto,5.84234545533754
fzaninotto/Faker,src/Faker/Provider/en_US/Person.php,Francois Zaninotto,5.84237043010865
fzaninotto/Faker,src/Faker/Provider/en_US/PhoneNumber.php,Francois Zaninotto,5.51434545533754
fzaninotto/Faker,src/Faker/Provider/en_US/Text.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/en_US/Text.php,Tim DÃƒÂ¼sterhus,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/en_ZA/Address.php,David Faux,4.719
fzaninotto/Faker,src/Faker/Provider/en_ZA/Internet.php,David Faux,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/en_ZA/Person.php,David Faux,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/en_ZA/PhoneNumber.php,David Faux,4.555
fzaninotto/Faker,src/Faker/Provider/es_AR/Address.php,JoseÃŒï¿½ Nahuel Cuesta Luengo,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/es_AR/Company.php,JoseÃŒï¿½ Nahuel Cuesta Luengo,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/es_AR/Person.php,JoseÃŒï¿½ Nahuel Cuesta Luengo,3.87437043010865
fzaninotto/Faker,src/Faker/Provider/es_AR/PhoneNumber.php,JoseÃŒï¿½ Nahuel Cuesta Luengo,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/es_ES/Address.php,Ivannis SuÃƒÂ¡rez JÃƒÂ©rez,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/es_ES/Company.php,John Was,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/es_ES/Company.php,Ivannis SuÃƒÂ¡rez JÃƒÂ©rez,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/es_ES/Internet.php,Lito,4.49649975504026
fzaninotto/Faker,src/Faker/Provider/es_ES/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/es_ES/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/es_ES/Person.php,Ivannis SuÃƒÂ¡rez JÃƒÂ©rez,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/es_ES/PhoneNumber.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/es_ES/PhoneNumber.php,Ivannis SuÃƒÂ¡rez JÃƒÂ©rez,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/es_PE/Address.php,Carlos Salvatierra,4.555
fzaninotto/Faker,src/Faker/Provider/es_PE/Company.php,Carlos Salvatierra,4.391
fzaninotto/Faker,src/Faker/Provider/es_PE/Person.php,Carlos Salvatierra,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/es_PE/PhoneNumber.php,Carlos Salvatierra,4.391
fzaninotto/Faker,src/Faker/Provider/es_VE/Address.php,Domingo Oropeza,4.555
fzaninotto/Faker,src/Faker/Provider/es_VE/Company.php,Domingo Oropeza,4.719
fzaninotto/Faker,src/Faker/Provider/es_VE/Internet.php,Domingo Oropeza,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/es_VE/Person.php,Domingo Oropeza,4.66049975504026
fzaninotto/Faker,src/Faker/Provider/es_VE/PhoneNumber.php,Domingo Oropeza,4.391
fzaninotto/Faker,src/Faker/Provider/fa_IR/Internet.php,Mohammad Zolfaghari,4.883
fzaninotto/Faker,src/Faker/Provider/fa_IR/Person.php,Mohammad Zolfaghari,4.883
fzaninotto/Faker,src/Faker/Provider/fa_IR/Text.php,Mohammad Zolfaghari,4.555
fzaninotto/Faker,src/Faker/Provider/fi_FI/Address.php,drodil,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/fi_FI/Company.php,drodil,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/fi_FI/Internet.php,drodil,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/fi_FI/Person.php,drodil,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/fi_FI/PhoneNumber.php,drodil,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/File.php,Stefano Sala,3.37384521037779
fzaninotto/Faker,src/Faker/Provider/File.php,Ando Roots,4.05149926512077
fzaninotto/Faker,src/Faker/Provider/fr_BE/Address.php,MichaeÃŒË†l,3.72649975504026
fzaninotto/Faker,src/Faker/Provider/fr_BE/Address.php,Jean-francois lefebvre,3.81584521037779
fzaninotto/Faker,src/Faker/Provider/fr_BE/Company.php,John Was,3.621
fzaninotto/Faker,src/Faker/Provider/fr_BE/Company.php,Jean-francois lefebvre,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/fr_BE/Internet.php,Hugo Fonseca,3.457
fzaninotto/Faker,src/Faker/Provider/fr_BE/Internet.php,Jean-francois lefebvre,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/fr_BE/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/fr_BE/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/fr_BE/Person.php,Jean-francois lefebvre,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/fr_BE/PhoneNumber.php,Pascal Borreli,3.457
fzaninotto/Faker,src/Faker/Provider/fr_BE/PhoneNumber.php,Jean-francois lefebvre,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/fr_CA/Address.php,marcaube,4.555
fzaninotto/Faker,src/Faker/Provider/fr_CA/Person.php,marcaube,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/fr_FR/Address.php,Francois Zaninotto,4.14384521037779
fzaninotto/Faker,src/Faker/Provider/fr_FR/Company.php,Francois Zaninotto,4.90534496541805
fzaninotto/Faker,src/Faker/Provider/fr_FR/Internet.php,Francois Zaninotto,3.93036284215324
fzaninotto/Faker,src/Faker/Provider/fr_FR/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/fr_FR/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/fr_FR/Person.php,Francois Zaninotto,4.53037043010865
fzaninotto/Faker,src/Faker/Provider/fr_FR/PhoneNumber.php,Francois Zaninotto,4.49649975504026
fzaninotto/Faker,src/Faker/Provider/fr_FR/Text.php,Francois Zaninotto,4.555
fzaninotto/Faker,src/Faker/Provider/hu_HU/Address.php,SÃƒÂ¡gi-KazÃƒÂ¡r MÃƒÂ¡rk,4.391
fzaninotto/Faker,src/Faker/Provider/hu_HU/Company.php,SÃƒÂ¡gi-KazÃƒÂ¡r MÃƒÂ¡rk,4.391
fzaninotto/Faker,src/Faker/Provider/hu_HU/Person.php,Charles SANQUER,3.457
fzaninotto/Faker,src/Faker/Provider/hu_HU/Person.php,SÃƒÂ¡gi-KazÃƒÂ¡r MÃƒÂ¡rk,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/hu_HU/PhoneNumber.php,SÃƒÂ¡gi-KazÃƒÂ¡r MÃƒÂ¡rk,4.391
fzaninotto/Faker,src/Faker/Provider/hy_AM/Address.php,Hamlet,4.66049975504026
fzaninotto/Faker,src/Faker/Provider/hy_AM/Company.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/hy_AM/Company.php,Hamlet,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/hy_AM/Internet.php,Hamlet,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/hy_AM/Person.php,Hamlet,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/hy_AM/PhoneNumber.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/hy_AM/PhoneNumber.php,Hamlet,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/id_ID/Address.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/id_ID/Address.php,Aprilus Lumbantoruan,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/id_ID/Company.php,Budi Irawan,4.391
fzaninotto/Faker,src/Faker/Provider/id_ID/Internet.php,Budi Irawan,4.391
fzaninotto/Faker,src/Faker/Provider/id_ID/Person.php,Aprilus Lumbantoruan,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/id_ID/PhoneNumber.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/id_ID/PhoneNumber.php,Aprilus Lumbantoruan,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/Image.php,Robert Reinhard,3.65187018514891
fzaninotto/Faker,src/Faker/Provider/Internet.php,Francois Zaninotto,5.53077537247198
fzaninotto/Faker,src/Faker/Provider/is_IS/Address.php,Birkir Rafn Gudjonsson,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/is_IS/Company.php,John Was,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/is_IS/Company.php,Birkir Rafn Gudjonsson,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/is_IS/Internet.php,Birkir Rafn Gudjonsson,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/is_IS/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/is_IS/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/is_IS/Person.php,Birkir Rafn Gudjonsson,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/is_IS/PhoneNumber.php,Bernhard Essl,3.457
fzaninotto/Faker,src/Faker/Provider/is_IS/PhoneNumber.php,Birkir Rafn Gudjonsson,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/it_IT/Address.php,Francois Zaninotto,3.33999951008052
fzaninotto/Faker,src/Faker/Provider/it_IT/Address.php,matteosister,3.97984521037779
fzaninotto/Faker,src/Faker/Provider/it_IT/Company.php,matteosister,4.37949926512077
fzaninotto/Faker,src/Faker/Provider/it_IT/Internet.php,Massimiliano Arione,3.43234545533754
fzaninotto/Faker,src/Faker/Provider/it_IT/Internet.php,Emanuele Minotto,3.81584521037779
fzaninotto/Faker,src/Faker/Provider/it_IT/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/it_IT/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/it_IT/Person.php,matteosister,3.76636284215324
fzaninotto/Faker,src/Faker/Provider/it_IT/PhoneNumber.php,matteosister,3.81584521037779
fzaninotto/Faker,src/Faker/Provider/ja_JP/Address.php,YAMANE Nana,4.391
fzaninotto/Faker,src/Faker/Provider/ja_JP/Company.php,YAMANE Nana,4.391
fzaninotto/Faker,src/Faker/Provider/ja_JP/Internet.php,YAMANE Nana,4.391
fzaninotto/Faker,src/Faker/Provider/ja_JP/Person.php,YAMANE Nana,4.03837043010865
fzaninotto/Faker,src/Faker/Provider/ja_JP/PhoneNumber.php,YAMANE Nana,4.391
fzaninotto/Faker,src/Faker/Provider/ka_GE/Person.php,Lasha Pertakhia,4.391
fzaninotto/Faker,src/Faker/Provider/ka_GE/Text.php,Lasha Pertakhia,4.555
fzaninotto/Faker,src/Faker/Provider/Lorem.php,Francois Zaninotto,5.12787018514891
fzaninotto/Faker,src/Faker/Provider/lv_LV/Address.php,Matiss Janis Aboltins,3.457
fzaninotto/Faker,src/Faker/Provider/lv_LV/Address.php,Roman Shvets,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/lv_LV/Internet.php,Hugo Fonseca,3.457
fzaninotto/Faker,src/Faker/Provider/lv_LV/Internet.php,Roman Shvets,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/lv_LV/Payment.php,John Was,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/lv_LV/Person.php,Roman Shvets,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/lv_LV/PhoneNumber.php,Roman Shvets,4.391
fzaninotto/Faker,src/Faker/Provider/me_ME/Address.php,ognjen miletic,4.53034545533754
fzaninotto/Faker,src/Faker/Provider/me_ME/Company.php,ognjen miletic,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/me_ME/Payment.php,ognjen miletic,4.555
fzaninotto/Faker,src/Faker/Provider/me_ME/Person.php,ognjen miletic,4.69434545533754
fzaninotto/Faker,src/Faker/Provider/me_ME/PhoneNumber.php,ognjen miletic,4.555
fzaninotto/Faker,src/Faker/Provider/Miscellaneous.php,Francois Zaninotto,4.77519066571533
fzaninotto/Faker,src/Faker/Provider/ne_NP/Address.php,Ankit Pokhrel,5.375
fzaninotto/Faker,src/Faker/Provider/ne_NP/Internet.php,Ankit Pokhrel,4.555
fzaninotto/Faker,src/Faker/Provider/ne_NP/Person.php,Ankit Pokhrel,4.555
fzaninotto/Faker,src/Faker/Provider/ne_NP/PhoneNumber.php,Ankit Pokhrel,4.719
fzaninotto/Faker,src/Faker/Provider/nl_BE/Address.php,Wim Vandersmissen,4.555
fzaninotto/Faker,src/Faker/Provider/nl_BE/Company.php,John Was,3.621
fzaninotto/Faker,src/Faker/Provider/nl_BE/Company.php,Wim Vandersmissen,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/nl_BE/Internet.php,Wim Vandersmissen,3.87437043010865
fzaninotto/Faker,src/Faker/Provider/nl_BE/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/nl_BE/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/nl_BE/Person.php,Charles SANQUER,3.457
fzaninotto/Faker,src/Faker/Provider/nl_BE/Person.php,Wim Vandersmissen,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/nl_BE/PhoneNumber.php,Pascal Borreli,3.457
fzaninotto/Faker,src/Faker/Provider/nl_BE/PhoneNumber.php,Wim Vandersmissen,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/nl_NL/Address.php,WouterJ,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/nl_NL/Color.php,Ben,4.391
fzaninotto/Faker,src/Faker/Provider/nl_NL/Company.php,John Was,3.621
fzaninotto/Faker,src/Faker/Provider/nl_NL/Company.php,WouterJ,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/nl_NL/Internet.php,Tim DÃƒÂ¼sterhus,3.457
fzaninotto/Faker,src/Faker/Provider/nl_NL/Internet.php,WouterJ,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/nl_NL/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/nl_NL/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/nl_NL/Person.php,Francois Zaninotto,3.43234545533754
fzaninotto/Faker,src/Faker/Provider/nl_NL/Person.php,WouterJ,3.81584521037779
fzaninotto/Faker,src/Faker/Provider/nl_NL/PhoneNumber.php,Kees Kluskens,3.457
fzaninotto/Faker,src/Faker/Provider/nl_NL/PhoneNumber.php,WouterJ,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/Payment.php,Francois Zaninotto,3.73569091067507
fzaninotto/Faker,src/Faker/Provider/Payment.php,Roman Shvets,3.8718625971935
fzaninotto/Faker,src/Faker/Provider/Person.php,Francois Zaninotto,5.25799951008052
fzaninotto/Faker,src/Faker/Provider/PhoneNumber.php,Francois Zaninotto,5.02234545533754
fzaninotto/Faker,src/Faker/Provider/pl_PL/Address.php,John Was,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/pl_PL/Company.php,John Was,4.60199951008051
fzaninotto/Faker,src/Faker/Provider/pl_PL/Internet.php,RadosÃ…â€šaw Mejer,4.03837043010865
fzaninotto/Faker,src/Faker/Provider/pl_PL/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/pl_PL/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/pl_PL/Person.php,RadosÃ…â€šaw Mejer,3.75734496541805
fzaninotto/Faker,src/Faker/Provider/pl_PL/PhoneNumber.php,RadosÃ…â€šaw Mejer,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/pl_PL/Text.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/pl_PL/Text.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/pt_BR/Address.php,Evandro Oliveira,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/pt_BR/Company.php,Evandro Oliveira,3.87437043010865
fzaninotto/Faker,src/Faker/Provider/pt_BR/Internet.php,Pedro Junior,3.87437043010865
fzaninotto/Faker,src/Faker/Provider/pt_BR/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/pt_BR/Payment.php,John Was,4.16849975504026
